ID,ProductID,SupplierName,SupplierCountry,SupplierContactEmail,Specifications,MarketingMaterial
12,12,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans
Altitude: Various (1,200 - 1,800 meters)
Variety: Mixed (Arabica)
Process: Washed
Roast: Dark
Tasting Notes: Rich, bittersweet chocolate, caramel
Aroma: Strong and fragrant
Body: Full
Acidity: Low
Package: 12 oz (340g) bag with one-way valve for freshness
Roast Date: Clearly stamped on each bag","Elevate your espresso experience with our carefully crafted Espresso Blend. This dark roast combines select Central and South American beans to create a rich, full-bodied coffee perfect for espresso brewing.

In the cup, you'll find pronounced notes of bittersweet chocolate and caramel, creating a complex and satisfying flavor profile. The low acidity and full body produce a smooth, creamy espresso with a beautiful crema.

Our roasters have fine-tuned this blend to perform exceptionally well under pressure, making it ideal for espresso machines and stovetop brewers. Whether you're pulling a single shot or crafting a latte, our Espresso Blend provides the perfect foundation for your favorite coffee drinks."

13,13,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Brazilian and Colombian beans
Altitude: Various (1,000 - 1,800 meters)
Variety: Mixed (Arabica)
Process: Washed
Roast: Very Dark
Tasting Notes: Intense, smoky, with hints of dark chocolate
Aroma: Bold and roasty
Body: Very Full
Acidity: Very Low
Package: 12 oz (340g) bag with one-way valve for freshness
Roast Date: Clearly stamped on each bag","Dive into the deep, intense flavors of our Italian Roast Espresso, a blend that pays homage to the bold coffee traditions of Italy. This very dark roast combines Brazilian and Colombian beans to create a coffee that stands up beautifully in milk-based drinks.

The flavor profile is dominated by smoky, roasty notes with hints of dark chocolate. The very low acidity and full body produce a smooth, rich espresso with a thick, lasting crema.

Our roasters have pushed this blend to the edge of darkness, creating a powerful yet balanced coffee that's perfect for those who love their espresso strong and intense. Whether you're making a cappuccino, latte, or enjoying it as a straight shot, our Italian Roast Espresso delivers a truly authentic espresso experience."

14,14,Federación Nacional de Cafeteros,Colombia,export@cafedecolombia.com,"Origin: Huila region, Colombia
Altitude: 1,500 - 1,900 meters
Variety: Caturra, Castillo
Process: Washed, Swiss Water Process Decaf
Roast: Medium
Tasting Notes: Chocolate, caramel, mild citrus
Aroma: Sweet with hints of nuts
Body: Medium
Acidity: Balanced
Package: 12 oz (340g) bag with one-way valve for freshness
Roast Date: Clearly stamped on each bag","Enjoy the full flavor of Colombian coffee without the caffeine with our Decaf Colombian. Using the Swiss Water Process, we've carefully removed the caffeine while preserving the coffee's delightful taste profile.

You'll still experience the smooth, well-balanced flavors that Colombian coffee is known for, with notes of chocolate and caramel, and a hint of citrus. The medium body and balanced acidity make this a versatile choice for any time of day.

Our partnership with the Colombian Coffee Growers Federation ensures that this decaf option is not only delicious but also ethically sourced. Whether you're cutting back on caffeine or looking for an evening cup, our Decaf Colombian delivers all the flavor without keeping you up at night."

15,15,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans
Altitude: Various (1,200 - 1,800 meters)
Variety: Mixed (Arabica)
Process: Washed, Swiss Water Process Decaf
Roast: Dark
Tasting Notes: Rich, bittersweet chocolate, caramel
Aroma: Strong and fragrant
Body: Full
Acidity: Low
Package: 12 oz (340g) bag with one-way valve for freshness
Roast Date: Clearly stamped on each bag","Experience the rich taste of espresso without the caffeine with our Decaf Espresso Blend. This carefully crafted blend uses beans that have undergone the Swiss Water Process to remove caffeine while maintaining the coffee's integral flavors.

In the cup, you'll find the same pronounced notes of bittersweet chocolate and caramel that characterize our regular Espresso Blend. The low acidity and full body produce a smooth, creamy espresso with a beautiful crema, all without the caffeine kick.

Our roasters have ensured that this decaf version performs just as well under pressure as its caffeinated counterpart. Whether you're enjoying an after-dinner espresso or are sensitive to caffeine, our Decaf Espresso Blend lets you indulge in the full espresso experience any time of day."

16,16,Cooperativa Agraria Cafetalera Perené,Peru,info@cooperativaperene.pe,"Origin: Junín region, Peru
Altitude: 1,200 - 1,800 meters
Variety: Typica, Bourbon, Caturra
Process: Washed
Roast: Medium
Tasting Notes: Nutty, chocolate, with a hint of citrus
Aroma: Sweet and balanced
Body: Medium
Acidity: Mild to medium
Package: 12 oz (340g) bag with one-way valve for freshness
Roast Date: Clearly stamped on each bag","Discover the smooth, balanced flavors of our Organic Peru, a coffee that exemplifies the best of South American organic farming practices. Grown in the lush Junín region, these beans are cultivated without synthetic pesticides or fertilizers, resulting in a clean, pure taste.

Each sip offers a harmonious blend of nutty and chocolate notes, with a subtle citrus brightness. The mild acidity and medium body make this an extremely approachable and versatile coffee.

Our partnership with the Cooperativa Agraria Cafetalera Perené ensures that this coffee is not only certified organic but also ethically sourced. By choosing this coffee, you're supporting sustainable farming practices and contributing to the livelihood of small-scale farmers in Peru."

